threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.22,0.019225487503433124,0.9210526315789473,0.03766478342749529,0.08871989860583017,0.9212047661076788,0.9751527151948716,0.8095250162566824,41749,3571,6,70,3571.0,6.0,70.0,41749.0,3721.0
0.23,0.01984469370146678,0.9078947368421053,0.03884041654939488,0.09124570219518646,0.924801412180053,0.9751527151948716,0.8095250162566824,41912,3408,7,69,3408.0,7.0,69.0,41912.0,3583.0
0.24,0.020695860827834433,0.9078947368421053,0.04046920821114369,0.0948323254535459,0.9279567519858782,0.9751527151948716,0.8095250162566824,42055,3265,7,69,3265.0,7.0,69.0,42055.0,3440.0
0.25,0.021569240387621133,0.9078947368421053,0.04213740458015267,0.0984870111333143,0.9309355692850838,0.9751527151948716,0.8095250162566824,42190,3130,7,69,3130.0,7.0,69.0,42190.0,3305.0
0.26,0.022556390977443608,0.9078947368421053,0.04401913875598086,0.10258697591436218,0.9340247131509267,0.9751527151948716,0.8095250162566824,42330,2990,7,69,2990.0,7.0,69.0,42330.0,3165.0
0.27,0.023622047244094488,0.9078947368421053,0.04604604604604605,0.10697674418604651,0.9370697263901148,0.9751527151948716,0.8095250162566824,42468,2852,7,69,2852.0,7.0,69.0,42468.0,3027.0
0.28,0.024722321748477247,0.9078947368421053,0.048133937914196026,0.11147011308562198,0.9399382171226831,0.9751527151948716,0.8095250162566824,42598,2722,7,69,2722.0,7.0,69.0,42598.0,2897.0
0.29,0.025842696629213482,0.9078947368421053,0.050254916241806266,0.11600537995965031,0.9426081200353045,0.9751527151948716,0.8095250162566824,42719,2601,7,69,2601.0,7.0,69.0,42719.0,2776.0
0.3,0.026848249027237352,0.9078947368421053,0.05215419501133787,0.12004175365344467,0.9448146513680494,0.9751527151948716,0.8095250162566824,42819,2501,7,69,2501.0,7.0,69.0,42819.0,2676.0
0.31,0.027991886409736308,0.9078947368421053,0.05430932703659976,0.12459371614301191,0.9471315092674316,0.9751527151948716,0.8095250162566824,42924,2396,7,69,2396.0,7.0,69.0,42924.0,2571.0
