threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.66,0.2926829268292683,0.9230769230769231,0.4444444444444444,0.6451612903225806,0.9963690997871542,0.9967832342941896,0.8114166003660838,7958,29,1,12,29.0,1.0,12.0,7958.0,54.0
0.67,0.3157894736842105,0.9230769230769231,0.47058823529411764,0.6666666666666666,0.9967447101540002,0.9967832342941896,0.8114166003660838,7961,26,1,12,26.0,1.0,12.0,7961.0,51.0
0.68,0.34285714285714286,0.9230769230769231,0.5,0.6896551724137931,0.9971203205208464,0.9967832342941896,0.8114166003660838,7964,23,1,12,23.0,1.0,12.0,7964.0,48.0
0.69,0.34285714285714286,0.9230769230769231,0.5,0.6896551724137931,0.9971203205208464,0.9967832342941896,0.8114166003660838,7964,23,1,12,23.0,1.0,12.0,7964.0,48.0
0.7,0.35294117647058826,0.9230769230769231,0.5106382978723404,0.6976744186046512,0.9972455239764617,0.9967832342941896,0.8114166003660838,7965,22,1,12,22.0,1.0,12.0,7965.0,47.0
0.71,0.3870967741935484,0.9230769230769231,0.5454545454545454,0.7228915662650602,0.9976211343433079,0.9967832342941896,0.8114166003660838,7968,19,1,12,19.0,1.0,12.0,7968.0,44.0
0.72,0.4,0.9230769230769231,0.5581395348837209,0.7317073170731707,0.9977463377989233,0.9967832342941896,0.8114166003660838,7969,18,1,12,18.0,1.0,12.0,7969.0,43.0
0.73,0.4,0.9230769230769231,0.5581395348837209,0.7317073170731707,0.9977463377989233,0.9967832342941896,0.8114166003660838,7969,18,1,12,18.0,1.0,12.0,7969.0,43.0
0.74,0.42857142857142855,0.9230769230769231,0.5853658536585366,0.75,0.997996744710154,0.9967832342941896,0.8114166003660838,7971,16,1,12,16.0,1.0,12.0,7971.0,41.0
0.75,0.42857142857142855,0.9230769230769231,0.5853658536585366,0.75,0.997996744710154,0.9967832342941896,0.8114166003660838,7971,16,1,12,16.0,1.0,12.0,7971.0,41.0
0.76,0.4444444444444444,0.9230769230769231,0.6,0.759493670886076,0.9981219481657694,0.9967832342941896,0.8114166003660838,7972,15,1,12,15.0,1.0,12.0,7972.0,40.0
0.77,0.4444444444444444,0.9230769230769231,0.6,0.759493670886076,0.9981219481657694,0.9967832342941896,0.8114166003660838,7972,15,1,12,15.0,1.0,12.0,7972.0,40.0
0.78,0.4444444444444444,0.9230769230769231,0.6,0.759493670886076,0.9981219481657694,0.9967832342941896,0.8114166003660838,7972,15,1,12,15.0,1.0,12.0,7972.0,40.0
0.79,0.46153846153846156,0.9230769230769231,0.6153846153846154,0.7692307692307693,0.9982471516213848,0.9967832342941896,0.8114166003660838,7973,14,1,12,14.0,1.0,12.0,7973.0,39.0
0.8,0.46153846153846156,0.9230769230769231,0.6153846153846154,0.7692307692307693,0.9982471516213848,0.9967832342941896,0.8114166003660838,7973,14,1,12,14.0,1.0,12.0,7973.0,39.0
0.81,0.46153846153846156,0.9230769230769231,0.6153846153846154,0.7692307692307693,0.9982471516213848,0.9967832342941896,0.8114166003660838,7973,14,1,12,14.0,1.0,12.0,7973.0,39.0
0.82,0.48,0.9230769230769231,0.631578947368421,0.7792207792207793,0.9983723550770002,0.9967832342941896,0.8114166003660838,7974,13,1,12,13.0,1.0,12.0,7974.0,38.0
0.83,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.821917808219178,0.9988731688994616,0.9967832342941896,0.8114166003660838,7978,9,1,12,9.0,1.0,12.0,7978.0,34.0
0.84,0.6,0.9230769230769231,0.7272727272727273,0.8333333333333334,0.998998372355077,0.9967832342941896,0.8114166003660838,7979,8,1,12,8.0,1.0,12.0,7979.0,33.0
0.85,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.8571428571428571,0.9992487792663077,0.9967832342941896,0.8114166003660838,7981,6,1,12,6.0,1.0,12.0,7981.0,31.0
0.86,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.9967832342941896,0.8114166003660838,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.87,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.9967832342941896,0.8114166003660838,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.88,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.9967832342941896,0.8114166003660838,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.89,0.7058823529411765,0.9230769230769231,0.8,0.8695652173913043,0.9993739827219231,0.9967832342941896,0.8114166003660838,7982,5,1,12,5.0,1.0,12.0,7982.0,30.0
0.9,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.9967832342941896,0.8114166003660838,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.91,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.9967832342941896,0.8114166003660838,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.92,0.75,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.9994991861775385,0.9967832342941896,0.8114166003660838,7983,4,1,12,4.0,1.0,12.0,7983.0,29.0
0.93,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.9967832342941896,0.8114166003660838,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.94,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9996243896331539,0.9967832342941896,0.8114166003660838,7984,3,1,12,3.0,1.0,12.0,7984.0,28.0
0.95,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8333333333333334,0.9996243896331539,0.9967832342941896,0.8114166003660838,7984,3,2,11,3.0,2.0,11.0,7984.0,53.0
0.96,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8333333333333334,0.9996243896331539,0.9967832342941896,0.8114166003660838,7984,3,2,11,3.0,2.0,11.0,7984.0,53.0
0.97,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8333333333333334,0.9996243896331539,0.9967832342941896,0.8114166003660838,7984,3,2,11,3.0,2.0,11.0,7984.0,53.0
0.98,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9997495930887692,0.9967832342941896,0.8114166003660838,7985,2,2,11,2.0,2.0,11.0,7985.0,52.0
0.99,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.6557377049180327,0.9998747965443846,0.9967832342941896,0.8114166003660838,7986,1,5,8,1.0,5.0,8.0,7986.0,126.0
