threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.38,0.02529182879377432,1.0,0.04933586337760911,0.11484098939929328,0.9372730687366971,0.9985023740501391,0.8407369108038005,7486,501,0,13,501.0,0.0,13.0,7486.0,501.0
0.39,0.02610441767068273,1.0,0.050880626223091974,0.11818181818181818,0.9392763240265432,0.9985023740501391,0.8407369108038005,7502,485,0,13,485.0,0.0,13.0,7502.0,485.0
0.4,0.027083333333333334,1.0,0.05273833671399594,0.12218045112781954,0.9415299862276199,0.9985023740501391,0.8407369108038005,7520,467,0,13,467.0,0.0,13.0,7520.0,467.0
0.41,0.028077753779697623,1.0,0.0546218487394958,0.1262135922330097,0.9436584449730813,0.9985023740501391,0.8407369108038005,7537,450,0,13,450.0,0.0,13.0,7537.0,450.0
0.42,0.02869757174392936,1.0,0.055793991416309016,0.12871287128712872,0.944910479529235,0.9985023740501391,0.8407369108038005,7547,440,0,13,440.0,0.0,13.0,7547.0,440.0
0.43,0.030232558139534883,1.0,0.05869074492099323,0.13485477178423236,0.9477901590083886,0.9985023740501391,0.8407369108038005,7570,417,0,13,417.0,0.0,13.0,7570.0,417.0
0.44,0.031026252983293555,1.0,0.06018518518518518,0.13800424628450106,0.9491673970201577,0.9985023740501391,0.8407369108038005,7581,406,0,13,406.0,0.0,13.0,7581.0,406.0
0.45,0.03217821782178218,1.0,0.06235011990407674,0.1425438596491228,0.9510454488543884,0.9985023740501391,0.8407369108038005,7596,391,0,13,391.0,0.0,13.0,7596.0,391.0
0.46,0.03291139240506329,1.0,0.06372549019607843,0.14541387024608501,0.9521722799549267,0.9985023740501391,0.8407369108038005,7605,382,0,13,382.0,0.0,13.0,7605.0,382.0
0.47,0.034031413612565446,1.0,0.06582278481012659,0.1497695852534562,0.9537999248779266,0.9985023740501391,0.8407369108038005,7618,369,0,13,369.0,0.0,13.0,7618.0,369.0
0.48,0.03494623655913978,1.0,0.06753246753246753,0.15330188679245282,0.9550519594340804,0.9985023740501391,0.8407369108038005,7628,359,0,13,359.0,0.0,13.0,7628.0,359.0
0.49,0.035422343324250684,1.0,0.06842105263157895,0.15513126491646778,0.9556779767121573,0.9985023740501391,0.8407369108038005,7633,354,0,13,354.0,0.0,13.0,7633.0,354.0
0.5,0.03611111111111111,1.0,0.06970509383378017,0.15776699029126215,0.9565544009014649,0.9985023740501391,0.8407369108038005,7640,347,0,13,347.0,0.0,13.0,7640.0,347.0
0.51,0.03724928366762178,1.0,0.0718232044198895,0.16209476309226933,0.957931638913234,0.9985023740501391,0.8407369108038005,7651,336,0,13,336.0,0.0,13.0,7651.0,336.0
0.52,0.03812316715542522,1.0,0.07344632768361582,0.16539440203562342,0.958933266558157,0.9985023740501391,0.8407369108038005,7659,328,0,13,328.0,0.0,13.0,7659.0,328.0
0.53,0.03857566765578635,1.0,0.07428571428571429,0.16709511568123395,0.9594340803806185,0.9985023740501391,0.8407369108038005,7663,324,0,13,324.0,0.0,13.0,7663.0,324.0
0.54,0.03939393939393939,1.0,0.07580174927113703,0.17015706806282724,0.9603105045699262,0.9985023740501391,0.8407369108038005,7670,317,0,13,317.0,0.0,13.0,7670.0,317.0
0.55,0.039755351681957186,1.0,0.07647058823529412,0.17150395778364116,0.9606861149367723,0.9985023740501391,0.8407369108038005,7673,314,0,13,314.0,0.0,13.0,7673.0,314.0
0.56,0.040498442367601244,1.0,0.07784431137724551,0.1742627345844504,0.9614373356704645,0.9985023740501391,0.8407369108038005,7679,308,0,13,308.0,0.0,13.0,7679.0,308.0
0.57,0.04180064308681672,1.0,0.08024691358024691,0.1790633608815427,0.9626893702266183,0.9985023740501391,0.8407369108038005,7689,298,0,13,298.0,0.0,13.0,7689.0,298.0
0.58,0.042071197411003236,1.0,0.08074534161490683,0.18005540166204986,0.962939777137849,0.9985023740501391,0.8407369108038005,7691,296,0,13,296.0,0.0,13.0,7691.0,296.0
0.59,0.04276315789473684,1.0,0.08201892744479496,0.18258426966292135,0.9635657944159258,0.9985023740501391,0.8407369108038005,7696,291,0,13,291.0,0.0,13.0,7696.0,291.0
0.6,0.04377104377104377,1.0,0.08387096774193549,0.18624641833810887,0.9644422186052335,0.9985023740501391,0.8407369108038005,7703,284,0,13,284.0,0.0,13.0,7703.0,284.0
0.61,0.04482758620689655,1.0,0.0858085808580858,0.19005847953216373,0.9653186427945412,0.9985023740501391,0.8407369108038005,7710,277,0,13,277.0,0.0,13.0,7710.0,277.0
0.62,0.045774647887323945,1.0,0.08754208754208755,0.19345238095238096,0.9660698635282334,0.9985023740501391,0.8407369108038005,7716,271,0,13,271.0,0.0,13.0,7716.0,271.0
0.63,0.04693140794223827,1.0,0.0896551724137931,0.19756838905775076,0.966946287717541,0.9985023740501391,0.8407369108038005,7723,264,0,13,264.0,0.0,13.0,7723.0,264.0
0.64,0.04797047970479705,1.0,0.09154929577464789,0.20123839009287925,0.9676975084512333,0.9985023740501391,0.8407369108038005,7729,258,0,13,258.0,0.0,13.0,7729.0,258.0
0.65,0.04905660377358491,1.0,0.09352517985611511,0.20504731861198738,0.9684487291849255,0.9985023740501391,0.8407369108038005,7735,252,0,13,252.0,0.0,13.0,7735.0,252.0
0.66,0.04961832061068702,1.0,0.09454545454545454,0.2070063694267516,0.9688243395517716,0.9985023740501391,0.8407369108038005,7738,249,0,13,249.0,0.0,13.0,7738.0,249.0
0.67,0.050980392156862744,1.0,0.09701492537313433,0.21172638436482086,0.9697007637410793,0.9985023740501391,0.8407369108038005,7745,242,0,13,242.0,0.0,13.0,7745.0,242.0
0.68,0.052,1.0,0.09885931558935361,0.2152317880794702,0.9703267810191561,0.9985023740501391,0.8407369108038005,7750,237,0,13,237.0,0.0,13.0,7750.0,237.0
0.69,0.053497942386831275,1.0,0.1015625,0.22033898305084745,0.9712032052084637,0.9985023740501391,0.8407369108038005,7757,230,0,13,230.0,0.0,13.0,7757.0,230.0
0.7,0.05485232067510549,1.0,0.104,0.22491349480968859,0.971954425942156,0.9985023740501391,0.8407369108038005,7763,224,0,13,224.0,0.0,13.0,7763.0,224.0
0.71,0.05555555555555555,1.0,0.10526315789473684,0.22727272727272727,0.9723300363090022,0.9985023740501391,0.8407369108038005,7766,221,0,13,221.0,0.0,13.0,7766.0,221.0
0.72,0.05752212389380531,1.0,0.1087866108786611,0.23381294964028776,0.9733316639539251,0.9985023740501391,0.8407369108038005,7774,213,0,13,213.0,0.0,13.0,7774.0,213.0
0.73,0.058823529411764705,1.0,0.1111111111111111,0.23809523809523808,0.973957681232002,0.9985023740501391,0.8407369108038005,7779,208,0,13,208.0,0.0,13.0,7779.0,208.0
0.74,0.05963302752293578,1.0,0.11255411255411256,0.24074074074074073,0.9743332915988482,0.9985023740501391,0.8407369108038005,7782,205,0,13,205.0,0.0,13.0,7782.0,205.0
0.75,0.06074766355140187,1.0,0.1145374449339207,0.24436090225563908,0.9748341054213097,0.9985023740501391,0.8407369108038005,7786,201,0,13,201.0,0.0,13.0,7786.0,201.0
0.76,0.06190476190476191,1.0,0.11659192825112108,0.2480916030534351,0.9753349192437711,0.9985023740501391,0.8407369108038005,7790,197,0,13,197.0,0.0,13.0,7790.0,197.0
0.77,0.06372549019607843,1.0,0.11981566820276497,0.25390625,0.9760861399774634,0.9985023740501391,0.8407369108038005,7796,191,0,13,191.0,0.0,13.0,7796.0,191.0
0.78,0.06532663316582915,1.0,0.12264150943396226,0.2589641434262948,0.9767121572555403,0.9985023740501391,0.8407369108038005,7801,186,0,13,186.0,0.0,13.0,7801.0,186.0
0.79,0.06914893617021277,1.0,0.12935323383084577,0.2708333333333333,0.9780893952673094,0.9985023740501391,0.8407369108038005,7812,175,0,13,175.0,0.0,13.0,7812.0,175.0
0.8,0.0718232044198895,1.0,0.13402061855670103,0.27896995708154504,0.978965819456617,0.9985023740501391,0.8407369108038005,7819,168,0,13,168.0,0.0,13.0,7819.0,168.0
0.81,0.07514450867052024,1.0,0.13978494623655913,0.28888888888888886,0.97996744710154,0.9985023740501391,0.8407369108038005,7827,160,0,13,160.0,0.0,13.0,7827.0,160.0
